"lat","lon","year","mean"
34,8,1983,21.09
34,8,1984,19.82
34,8,1985,20.49
34,8,1986,19.76
34,8,1987,20.71
34,8,1988,20.85
34,8,1989,20.31
34,8,1990,20.83
34,8,1991,19.76
34,8,1992,19.8
34,8,1993,20.23
34,8,1994,20.86
34,8,1995,19.99
34,8,1996,19.74
34,8,1997,20.41
34,8,1998,20
34,8,1999,20.74
34,8,2000,20.34
34,8,2001,21.13
34,8,2002,20.75
34,8,2003,20.76
34,8,2004,20.4
34,8,2005,20.23
34,8,2006,21.03
34,8,2007,20.54
34,9,1983,21.51
34,9,1984,20.38
34,9,1985,20.94
34,9,1986,20.15
34,9,1987,21.13
34,9,1988,21.13
34,9,1989,20.71
34,9,1990,21.13
34,9,1991,20.21
34,9,1992,20.32
34,9,1993,20.72
34,9,1994,21.42
34,9,1995,20.39
34,9,1996,20.42
34,9,1997,20.74
34,9,1998,20.58
34,9,1999,21.19
34,9,2000,20.75
34,9,2001,21.48
34,9,2002,21.17
34,9,2003,20.96
34,9,2004,20.84
34,9,2005,20.63
34,9,2006,21.54
34,9,2007,21.08
34,10,1983,21.3
34,10,1984,20.43
34,10,1985,20.81
34,10,1986,20.18
34,10,1987,20.91
34,10,1988,20.9
34,10,1989,20.61
34,10,1990,21.04
34,10,1991,20.22
34,10,1992,20.38
34,10,1993,20.72
34,10,1994,21.36
34,10,1995,20.42
34,10,1996,20.52
34,10,1997,20.69
34,10,1998,20.55
34,10,1999,21.09
34,10,2000,20.73
34,10,2001,21.25
34,10,2002,21.04
34,10,2003,20.76
34,10,2004,20.68
34,10,2005,20.56
34,10,2006,21.48
34,10,2007,21.08
34,11,1983,20.69
34,11,1984,20.07
34,11,1985,20.3
34,11,1986,19.96
34,11,1987,20.28
34,11,1988,20.38
34,11,1989,20.13
34,11,1990,20.7
34,11,1991,19.94
34,11,1992,20.09
34,11,1993,20.35
34,11,1994,20.87
34,11,1995,20.2
34,11,1996,20.14
34,11,1997,20.38
34,11,1998,20.06
34,11,1999,20.63
34,11,2000,20.39
34,11,2001,20.62
34,11,2002,20.49
34,11,2003,20.32
34,11,2004,20.05
34,11,2005,20.13
34,11,2006,20.97
34,11,2007,20.65
34,12,1983,20.59
34,12,1984,19.96
34,12,1985,20.34
34,12,1986,20.04
34,12,1987,20.26
34,12,1988,20.43
34,12,1989,19.99
34,12,1990,20.7
34,12,1991,19.98
34,12,1992,19.99
34,12,1993,20.29
34,12,1994,20.78
34,12,1995,20.18
34,12,1996,20.02
34,12,1997,20.17
34,12,1998,19.92
34,12,1999,20.65
34,12,2000,20.27
34,12,2001,20.38
34,12,2002,20.23
34,12,2003,20.12
34,12,2004,19.64
34,12,2005,19.94
34,12,2006,20.74
34,12,2007,20.47
34,13,1983,20.53
34,13,1984,19.93
34,13,1985,20.33
34,13,1986,19.98
34,13,1987,20.15
34,13,1988,20.42
34,13,1989,19.88
34,13,1990,20.68
34,13,1991,20.04
34,13,1992,20.04
34,13,1993,20.34
34,13,1994,20.83
34,13,1995,20.25
34,13,1996,20.02
34,13,1997,20.14
34,13,1998,19.89
34,13,1999,20.64
34,13,2000,20.18
34,13,2001,20.4
34,13,2002,20.19
34,13,2003,20.1
34,13,2004,19.5
34,13,2005,19.9
34,13,2006,20.66
34,13,2007,20.38
34,14,1983,20.54
34,14,1984,19.99
34,14,1985,20.37
34,14,1986,19.99
34,14,1987,20.11
34,14,1988,20.46
34,14,1989,19.83
34,14,1990,20.73
34,14,1991,20.14
34,14,1992,20.11
34,14,1993,20.44
34,14,1994,20.95
34,14,1995,20.34
34,14,1996,20.06
34,14,1997,20.14
34,14,1998,19.92
34,14,1999,20.68
34,14,2000,20.17
34,14,2001,20.47
34,14,2002,20.18
34,14,2003,20.14
34,14,2004,19.51
34,14,2005,19.89
34,14,2006,20.56
34,14,2007,20.31
34,15,1983,20.52
34,15,1984,20.02
34,15,1985,20.39
34,15,1986,20
34,15,1987,20.1
34,15,1988,20.47
34,15,1989,19.77
34,15,1990,20.73
34,15,1991,20.21
34,15,1992,20.14
34,15,1993,20.49
34,15,1994,21.07
34,15,1995,20.41
34,15,1996,20.07
34,15,1997,20.13
34,15,1998,19.95
34,15,1999,20.7
34,15,2000,20.17
34,15,2001,20.5
34,15,2002,20.18
34,15,2003,20.17
34,15,2004,19.51
34,15,2005,19.86
34,15,2006,20.45
34,15,2007,20.22
34,16,1983,20.45
34,16,1984,20
34,16,1985,20.39
34,16,1986,19.99
34,16,1987,20.08
34,16,1988,20.43
34,16,1989,19.68
34,16,1990,20.65
34,16,1991,20.22
34,16,1992,20.13
34,16,1993,20.48
34,16,1994,21.15
34,16,1995,20.44
34,16,1996,20.04
34,16,1997,20.08
34,16,1998,19.96
34,16,1999,20.7
34,16,2000,20.16
34,16,2001,20.47
34,16,2002,20.16
34,16,2003,20.18
34,16,2004,19.46
34,16,2005,19.82
34,16,2006,20.32
34,16,2007,20.1
34,17,1983,20.37
34,17,1984,19.98
34,17,1985,20.37
34,17,1986,19.96
34,17,1987,20.06
34,17,1988,20.37
34,17,1989,19.63
34,17,1990,20.54
34,17,1991,20.19
34,17,1992,20.12
34,17,1993,20.45
34,17,1994,21.2
34,17,1995,20.45
34,17,1996,20.01
34,17,1997,20.04
34,17,1998,20.04
34,17,1999,20.69
34,17,2000,20.13
34,17,2001,20.44
34,17,2002,20.15
34,17,2003,20.17
34,17,2004,19.42
34,17,2005,19.8
34,17,2006,20.2
34,17,2007,20
34,18,1983,20.22
34,18,1984,19.89
34,18,1985,20.19
34,18,1986,19.92
34,18,1987,19.98
34,18,1988,20.28
34,18,1989,19.54
34,18,1990,20.48
34,18,1991,20.1
34,18,1992,20.03
34,18,1993,20.37
34,18,1994,21.15
34,18,1995,20.42
34,18,1996,19.93
34,18,1997,19.9
34,18,1998,20.01
34,18,1999,20.66
34,18,2000,20.06
34,18,2001,20.32
34,18,2002,20.11
34,18,2003,20.11
34,18,2004,19.41
34,18,2005,19.74
34,18,2006,20.04
34,18,2007,19.88
34,19,1983,20.09
34,19,1984,19.76
34,19,1985,20.03
34,19,1986,19.86
34,19,1987,19.88
34,19,1988,20.21
34,19,1989,19.51
34,19,1990,20.4
34,19,1991,19.95
34,19,1992,19.94
34,19,1993,20.28
34,19,1994,21.07
34,19,1995,20.36
34,19,1996,19.87
34,19,1997,19.76
34,19,1998,19.98
34,19,1999,20.62
34,19,2000,19.98
34,19,2001,20.21
34,19,2002,20.07
34,19,2003,20.03
34,19,2004,19.39
34,19,2005,19.67
34,19,2006,19.87
34,19,2007,19.76
34,20,1983,19.94
34,20,1984,19.63
34,20,1985,19.87
34,20,1986,19.77
34,20,1987,19.73
34,20,1988,20.11
34,20,1989,19.5
34,20,1990,20.3
34,20,1991,19.78
34,20,1992,19.83
34,20,1993,20.17
34,20,1994,20.98
34,20,1995,20.31
34,20,1996,19.84
34,20,1997,19.68
34,20,1998,19.92
34,20,1999,20.56
34,20,2000,19.88
34,20,2001,20.13
34,20,2002,20.01
34,20,2003,19.9
34,20,2004,19.34
34,20,2005,19.62
34,20,2006,19.74
34,20,2007,19.65
34,21,1983,19.82
34,21,1984,19.54
34,21,1985,19.73
34,21,1986,19.69
34,21,1987,19.55
34,21,1988,20.01
34,21,1989,19.52
34,21,1990,20.22
34,21,1991,19.65
34,21,1992,19.76
34,21,1993,20.1
34,21,1994,20.91
34,21,1995,20.31
34,21,1996,19.84
34,21,1997,19.67
34,21,1998,19.88
34,21,1999,20.52
34,21,2000,19.78
34,21,2001,20.1
34,21,2002,19.96
34,21,2003,19.76
34,21,2004,19.31
34,21,2005,19.62
34,21,2006,19.69
34,21,2007,19.59
34,22,1983,19.8
34,22,1984,19.61
34,22,1985,19.73
34,22,1986,19.67
34,22,1987,19.44
34,22,1988,20.06
34,22,1989,19.63
34,22,1990,20.26
34,22,1991,19.69
34,22,1992,19.75
34,22,1993,20.16
34,22,1994,20.95
34,22,1995,20.38
34,22,1996,19.94
34,22,1997,19.77
34,22,1998,20
34,22,1999,20.59
34,22,2000,19.77
34,22,2001,20.17
34,22,2002,20.03
34,22,2003,19.71
34,22,2004,19.37
34,22,2005,19.74
34,22,2006,19.72
34,22,2007,19.64
35,2,1983,17.03
35,2,1984,16.02
35,2,1985,16.8
35,2,1986,16.6
35,2,1987,17.43
35,2,1988,17.2
35,2,1989,17.5
35,2,1990,17.59
35,2,1991,16.31
35,2,1992,16.15
35,2,1993,16.26
35,2,1994,17.33
35,2,1995,17.17
35,2,1996,16.36
35,2,1997,17.44
35,2,1998,16.98
35,2,1999,17.23
35,2,2000,17.49
35,2,2001,17.69
35,2,2002,17.7
35,2,2003,18.11
35,2,2004,17.54
35,2,2005,17.18
35,2,2006,17.82
35,2,2007,16.9
35,3,1983,17.23
35,3,1984,16.15
35,3,1985,16.9
35,3,1986,16.65
35,3,1987,17.56
35,3,1988,17.34
35,3,1989,17.56
35,3,1990,17.67
35,3,1991,16.38
35,3,1992,16.33
35,3,1993,16.44
35,3,1994,17.47
35,3,1995,17.25
35,3,1996,16.44
35,3,1997,17.47
35,3,1998,16.93
35,3,1999,17.27
35,3,2000,17.58
35,3,2001,17.75
35,3,2002,17.81
35,3,2003,18.13
35,3,2004,17.51
35,3,2005,17.15
35,3,2006,17.81
35,3,2007,16.85
35,4,1983,17.52
35,4,1984,16.41
35,4,1985,17.24
35,4,1986,16.94
35,4,1987,17.84
35,4,1988,17.71
35,4,1989,17.76
35,4,1990,18.02
35,4,1991,16.69
35,4,1992,16.67
35,4,1993,16.77
35,4,1994,17.8
35,4,1995,17.47
35,4,1996,16.67
35,4,1997,17.67
35,4,1998,17.03
35,4,1999,17.58
35,4,2000,17.79
35,4,2001,18.01
35,4,2002,18.03
35,4,2003,18.33
35,4,2004,17.59
35,4,2005,17.29
35,4,2006,18.03
35,4,2007,17.02
35,5,1983,17.66
35,5,1984,16.49
35,5,1985,17.4
35,5,1986,17.02
